	GSM1525024		GSM1525025		GSM1525026		GSM1525027		GSM1525028		GSM1525029		GSM1525030		GSM1525031		
ID_REF 	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	
ILMN_1258290	47.96318	0.4160401	54.90439	0.1666667	55.05342	0.3095238	45.88918	0.6679198	53.28503	0.7844611	66.43575	0.4373434	65.61111	0.849624	119.4085	0.5513784	
ILMN_2960474	149.6086	0	164.8265	0	164.9787	0	164.4248	0	225.8378	0	319.5171	0	509.1739	0	390.8939	0	
ILMN_2759652	202.918	0	191.782	0	176.2764	0	170.9162	0	229.605	0	248.0905	0	316.9003	0.01754386	265.2242	0.005012531	
ILMN_2955214	1325.379	0	1458.645	0	1540.26	0	1426.555	0	2071.668	0	2428.717	0	3380.04	0	2209.101	0	
ILMN_1235811	4684.888	0	4344.104	0	3197.391	0	3300.737	0	10104.13	0	8781.682	0	9988.501	0	8628.825	0	
ILMN_2648134	41.06358	0.8696742	40.60501	0.8320802	49.77591	0.5764411	46.35843	0.6152882	55.04329	0.7130326	59.06898	0.6691729	64.93205	0.8609022	90.19525	0.9235589	
ILMN_1248948	43.78146	0.6867168	39.94555	0.8872181	44.27402	0.9072682	42.75584	0.8709273	63.51757	0.4047619	56.76239	0.7807018	83.10414	0.5601504	134.9164	0.3671679	
ILMN_2972929	108.167	0	88.89881	0.006265664	95.00275	0.006265664	86.66148	0.005012531	171.0965	0.002506266	203.6416	0.005012531	302.5257	0.02380952	286.3948	0.002506266	
ILMN_1250467	46.75943	0.5012531	43.34053	0.6378446	49.53048	0.5914787	46.64092	0.5889724	60.71367	0.4837093	72.28329	0.3295739	69.39373	0.7894737	100.1218	0.8120301	
ILMN_1231457	1193.238	0	1166.911	0	887.6868	0	1000.399	0	1794.93	0	1940.544	0	2331.625	0	1849.512	0	
ILMN_3000080	907.0188	0	940.5114	0	889.3089	0	887.3681	0	1516.696	0	1898.085	0	2635.699	0	1821.74	0	
ILMN_2653900	47.5021	0.4511278	53.66344	0.1829574	58.08847	0.2255639	48.45399	0.4348371	104.7242	0.0689223	153.8876	0.01378446	172.3166	0.1629073	209.0221	0.04260652	
ILMN_2629375	224.598	0	189.0723	0	178.9841	0	175.7783	0	281.4958	0	323.0672	0	504.1747	0	339.6916	0.001253133	
ILMN_2863437	639.7436	0	570.1499	0	498.9836	0	730.0377	0	1434.898	0	1337.327	0	1799.67	0	1563.673	0	
ILMN_2790512	517.4974	0	409.3186	0	406.9977	0	389.4438	0	812.634	0	853.4102	0	1087.089	0	724.1656	0	
ILMN_2739128	106.1562	0	89.80961	0.006265664	87.19884	0.01253133	71.5545	0.03508772	150.3363	0.01253133	118.4875	0.06390978	190.9168	0.1253133	184.4811	0.1002506	
ILMN_2664522	228.1565	0	260.6064	0	203.8495	0	296.8401	0	455.747	0	908.2123	0	1398.229	0	867.2952	0	
ILMN_3159695	56.39167	0.1641604	54.17252	0.1804511	65.85645	0.09273183	56.03617	0.1691729	104.8609	0.0689223	88.02686	0.20802	158.3831	0.1929825	132.6066	0.3872181	
ILMN_3080273	56.11512	0.1704261	60.46455	0.1052632	69.45949	0.0651629	62.19021	0.09273183	66.44385	0.3446115	74.59294	0.3082707	106.8793	0.3671679	122.7021	0.4874687	
