gene	UT1	UT2	Ab1	Ab2	L1	L2	LAb1	LAb2
Isg20l2	40.26436583	41.03289571	36.16854825	33.4692322	23.65964034	24.07876602	24.6861131	24.260855
Paox	3.807532089	3.149000195	2.305499513	3.011158253	2.372377785	2.753925288	2.72285149	2.533087441
Nras	28.69136789	28.15355815	24.19700414	26.80149107	25.80725964	26.68276727	25.99547355	27.82164745
Cisd2	7.479347477	7.301311712	5.423075829	7.442856186	6.559735222	6.691144112	6.603792899	6.979759833
Dhx30	10.59689044	9.998383652	7.827319725	8.677651147	9.427491902	9.784878459	10.5769596	9.115108647
Esf1	5.396319233	8.247185557	15.52275439	11.47326229	21.87129623	22.74073693	20.0956446	25.62297459
Cdkl3	1.042369968	1.488264848	1.530416245	1.01424667	2.19010199	2.151365665	1.739113884	2.709572797
Hao1	0.519127609	0.384674533	0.484352534	0.602677222	8.653991254	9.863293727	9.530153857	9.443963582
Dmac2l	2.17623614	2.195516937	2.456834048	4.212922596	3.24990786	2.538362951	3.015703051	2.915106922
Tmem102	3.410833352	3.89592772	2.213623789	2.244508629	0.774907453	0.878955625	0.862951273	0.831593702
Rps27a	366.0406455	231.6856973	262.1913954	707.4576256	789.6022142	701.5594448	856.4583527	671.3402137
Rxylt1	5.212846862	5.311097543	6.004570173	5.431495534	3.990615549	3.598053889	3.81607449	3.958713214
Ska3	14.03325828	15.64218047	14.205886	13.19861848	4.177207661	5.09462104	5.04216133	4.456942587
Ttc5	14.81391167	12.53594212	9.761203639	17.22277662	14.04252568	14.81061049	15.73422014	13.82206786
Nudt5	12.48652113	12.31324692	12.83343984	16.99152099	12.56710212	12.90468356	12.70614729	13.38362344
Synrg	6.254041949	6.531196379	4.599952763	3.822013707	3.845065761	4.051662719	4.026723758	4.061514859
Cited2	318.0609789	349.7279011	466.4237278	236.4292469	212.5670725	280.0840544	254.8845626	249.6462697
Mau2	7.873593353	7.654755126	5.293225322	7.236995456	5.417035622	6.105886648	6.063798729	5.736879007
Mtrf1l	2.732481111	2.856765871	3.706035466	3.387600946	3.509929481	4.973738117	4.102234295	4.585469221
Med10	9.384502266	8.536516221	7.770966277	10.16898841	12.29358645	12.28829356	12.40643586	12.76483823
Ndufv2	45.48557555	36.58302272	45.62473091	69.09639476	46.56942951	46.90926989	46.844761	48.87479607
Rtn4ip1	6.887752037	7.297599098	6.302189795	6.213649974	4.476155521	4.238640511	4.30570343	4.617470087
Sfr1	53.21943947	60.01504291	79.41493684	52.30910829	51.08898688	49.65131161	42.75892413	60.38873499
