gene_id	GCK1.1	GCK2	GCK3	control1.1	control2	control3	dex1.1	dex2	dex3
ENSG00000162999.13_4	28	25	45	48	4	47	26	18	50
ENSG00000258479.6_6	5	0	0	16	0	15	12	11	0
ENSG00000252189.1	0	0	0	0	0	0	0	0	0
ENSG00000232714.1_4	0	0	0	0	0	0	0	0	0
ENSG00000211688.1_4	0	0	0	0	0	0	0	0	0
ENSG00000121933.19_6	5	5	32	18	4	18	14	16	22
ENSG00000263165.1_8	0	0	0	0	0	0	0	0	0
ENSG00000253917.4_9	606	53	16	289	32	390	232	330	28
ENSG00000285361.1_3	0	0	3	0	0	0	0	0	0
ENSG00000237036.5_7	45	28	42	71	35	69	49	38	25
ENSG00000214121.4_5	2	0	0	0	0	5	0	0	0
ENSG00000143322.21_7	2046	2248	1146	2973	1863	2331	2695	3891	1592
ENSG00000177125.5_3	22	44	15	34	26	41	18	70	30
ENSG00000248708.2_7	0	0	0	0	0	0	0	0	0
ENSG00000235173.7_4	348	241	143	391	186	229	298	99	270
ENSG00000103375.11_5	0	0	0	0	0	0	0	0	0
ENSG00000172318.5_3	758	39	43	1345	23	93	547	95	38
ENSG00000202534.1	0	0	0	0	0	0	0	0	0
ENSG00000160218.13_4	103	139	62	89	106	178	123	69	113
ENSG00000276316.1_4	0	0	0	0	0	0	0	0	0
ENSG00000261432.1_5	0	0	0	0	0	0	0	0	0
ENSG00000287757.1_2	0	8	0	0	0	0	0	0	0
ENSG00000252094.1_1	0	0	0	0	0	0	0	0	0
ENSG00000165474.8_8	0	0	4	0	9	5	0	4	4
ENSG00000159217.10_5	8	8	15	16	12	9	4	7	20
ENSG00000231375.1_5	0	0	0	0	0	0	0	0	0
ENSG00000239145.1	0	0	0	0	0	0	0	0	0
ENSG00000283526.1_5	0	0	0	0	0	0	0	0	0
ENSG00000250384.1_4	0	4	0	0	0	0	0	0	0
ENSG00000234607.2_6	0	0	0	0	0	0	0	0	0
ENSG00000081177.18_4	151	182	120	310	146	279	162	250	366
ENSG00000102096.9_5	76	32	74	48	25	94	31	66	37
ENSG00000226943.3_4	0	0	0	0	0	0	0	0	0
ENSG00000143178.13_5	36	47	8	41	75	16	49	102	23
ENSG00000280242.1_1	0	0	0	0	0	0	0	0	0
ENSG00000286984.1_2	0	0	0	0	0	0	0	0	0
ENSG00000285659.1_2	0	0	0	0	0	0	0	0	0
ENSG00000287446.1_2	0	0	0	0	0	0	0	5	0
ENSG00000205129.8_3	19	45	14	18	7	25	4	12	34
ENSG00000257576.1_4	22	11	0	16	11	6	0	18	11
ENSG00000180712.4_8	21	0	0	22	13	10	0	39	3
ENSG00000108423.15_6	116	161	189	229	75	372	110	238	198
ENSG00000267440.2_8	0	0	0	0	0	0	0	0	0
ENSG00000242477.1_5	1	2	0	3	2	3	0	0	2
ENSG00000287785.1_1	0	0	0	0	0	0	5	0	0
ENSG00000223660.1_7	0	0	0	0	0	0	0	0	0
ENSG00000236048.2_6	2	8	0	6	0	4	9	5	8
ENSG00000213759.10_6	0	0	0	0	0	0	0	0	0
ENSG00000235532.1_5	0	4	0	9	0	0	0	4	8
ENSG00000232740.1_6	0	0	0	0	0	0	0	0	0
ENSG00000184324.11	0	0	0	0	0	0	0	0	0
ENSG00000258220.1_7	0	0	0	0	0	0	0	0	0
ENSG00000174177.13_4	18	5	0	16	0	0	2	17	0
ENSG00000222018.2_5	0	0	0	0	4	0	0	0	0
ENSG00000230482.1_5	15	0	4	0	0	4	0	0	0
ENSG00000177640.16_8	8	45	14	30	21	31	17	110	27
ENSG00000169629.12_5	43	40	40	71	33	40	28	101	58
ENSG00000172270.20_7	4925	4684	6491	4108	3331	6542	4454	3202	6301
ENSG00000268047.1_7	0	0	0	0	0	0	0	0	0
ENSG00000233737.3_5	0	0	0	0	0	0	0	0	0
ENSG00000280744.1_3	0	21	20	26	21	42	18	45	8
ENSG00000231332.2_7	0	0	0	0	0	0	0	0	0
ENSG00000253504.1_4	0	0	0	0	0	0	0	0	0
ENSG00000253049.1	0	0	0	0	0	0	0	0	0
ENSG00000288103.1_2	6	0	0	0	0	0	3	14	0
ENSG00000240250.2	0	0	0	0	0	0	0	0	0
ENSG00000256632.3_8	0	0	0	0	0	0	0	0	0
ENSG00000235334.1_4	0	0	0	0	0	0	0	0	0
ENSG00000268432.1	0	0	0	0	0	0	0	0	0
ENSG00000265875.1	0	0	0	0	0	0	0	0	0
ENSG00000230425.1_4	0	0	0	0	0	0	0	0	0
ENSG00000234931.1_5	0	0	0	0	0	0	0	0	0
ENSG00000138073.14_6	820	799	556	715	512	765	754	644	769
ENSG00000144840.10_6	1589	1340	1330	2968	1173	2632	1259	3260	1782
ENSG00000113456.19_5	1110	1242	1253	1780	836	2076	901	1988	1658
ENSG00000201274.1_1	0	0	0	0	0	0	0	0	0
ENSG00000232295.7_11	0	0	0	4	0	0	5	12	0
ENSG00000110042.8_4	66	10	11	23	21	20	35	0	0
ENSG00000273077.1_7	0	0	0	0	0	0	0	0	0
ENSG00000229836.1_6	0	0	0	0	0	0	0	0	0
ENSG00000168884.15_7	1410	1145	532	1279	790	911	1156	1065	914
ENSG00000188177.14_4	39	14	16	44	10	30	12	16	8
ENSG00000276593.1_7	0	0	0	0	0	0	0	0	0
ENSG00000227423.2_2	0	0	0	0	0	0	0	0	0
ENSG00000236095.1_7	2	5	3	3	4	7	3	0	6
ENSG00000284687.1_3	0	0	0	0	0	0	0	0	0
ENSG00000280266.1_1	0	0	0	0	0	0	0	0	0
ENSG00000076242.16_6	1114	914	826	1507	660	1476	835	1439	942
ENSG00000269774.1	0	0	0	0	0	0	0	0	0
ENSG00000237427.1_4	0	0	0	0	0	0	0	0	0
ENSG00000149150.9_8	140	109	139	183	41	155	226	129	129
ENSG00000173141.5_4	8273	9169	6599	7720	5934	9468	6975	10573	8790
ENSG00000238067.1_4	0	0	0	0	0	0	0	0	0
ENSG00000279949.1_7	0	0	0	0	0	0	0	0	0
ENSG00000236907.1_5	0	0	0	0	0	0	0	0	0
ENSG00000188162.11_6	0	0	0	0	0	0	0	0	0
ENSG00000244246.1_4	0	0	0	0	0	0	0	0	0
ENSG00000185219.17_5	229	213	0	202	111	179	89	221	0
ENSG00000224702.1_7	0	0	0	0	0	0	0	0	0
ENSG00000230142.2_6	0	0	0	0	0	0	0	0	0
ENSG00000202050.1	0	0	0	0	0	0	0	0	0
ENSG00000166788.10_9	624	972	938	1087	551	1531	501	1362	1662
ENSG00000254844.4_7	0	0	0	0	0	0	0	0	0
ENSG00000251440.2_5	0	0	0	0	0	0	0	0	0
ENSG00000163016.10_7	0	0	0	0	0	0	0	0	0
ENSG00000171451.14_6	595	519	307	1017	512	707	502	1690	424
ENSG00000248393.1_6	0	0	0	0	0	0	0	0	0
ENSG00000106804.8_4	45	22	20	46	25	45	20	78	6
ENSG00000240253.6_6	15	14	2	10	0	0	0	4	0
ENSG00000267450.1_3	0	0	0	0	0	0	0	0	0
ENSG00000147697.9_5	81	5	16	126	16	15	38	53	9
ENSG00000227014.6_7	9	17	0	31	0	0	0	0	0
ENSG00000273877.4_7	0	0	0	0	0	0	0	0	0
ENSG00000212039.1	0	0	0	0	0	0	0	0	0
ENSG00000048140.18_7	1110	754	480	943	476	692	715	702	811
ENSG00000279955.3_6	0	0	0	0	0	0	0	0	0
ENSG00000223834.5_8	23	0	0	0	8	0	0	0	0
ENSG00000130173.13_7	0	0	0	4	0	0	0	3	0
ENSG00000251978.1_1	0	0	0	0	0	0	0	0	0
ENSG00000162543.6_4	14	0	19	11	4	12	7	12	12
ENSG00000272865.2_9	0	0	0	0	0	0	0	0	0
ENSG00000267834.1_6	3	0	0	0	0	0	0	0	0
ENSG00000272335.1_6	64	23	24	93	19	36	25	83	47
ENSG00000258357.1_6	0	2	0	0	0	0	0	0	0
ENSG00000084110.11_5	0	0	0	6	0	0	0	0	0
ENSG00000253081.1	0	0	0	0	0	0	0	0	0
ENSG00000212694.8_8	451	360	146	463	141	300	555	352	162
ENSG00000211804.3_4	0	0	0	0	0	0	0	0	0
ENSG00000212475.1	0	0	0	0	0	0	0	0	0
ENSG00000230497.2_4	0	0	0	0	3	0	0	0	0
ENSG00000104824.17_8	577	266	171	533	250	396	274	479	275
ENSG00000172572.6_4	17	16	48	11	37	116	8	27	42
ENSG00000233256.1_6	0	0	0	0	0	0	0	0	0
ENSG00000008300.17_6	0	19	4	6	10	7	0	11	4
ENSG00000062038.14_5	5	0	0	28	32	0	8	0	0
ENSG00000138760.10_7	3302	4143	2341	5379	3114	3716	3056	7580	2625
ENSG00000258429.2_6	193	133	107	211	0	0	104	343	59
ENSG00000211517.1	1	1	1	1	1	1	1	1	1
ENSG00000188324.4_5	0	0	0	0	0	0	0	0	0
ENSG00000115425.14_6	276	151	229	295	149	288	200	222	242
ENSG00000252845.1_1	0	0	0	0	0	0	0	0	0
ENSG00000283948.1_4	0	0	0	0	0	0	0	0	0
ENSG00000265296.1_4	0	0	0	0	0	0	0	0	0
ENSG00000259715.1_7	0	0	0	0	0	0	0	0	0
ENSG00000263445.1	0	0	0	0	0	0	0	0	0
ENSG00000237089.2_6	0	0	0	0	0	0	0	0	0
ENSG00000250200.1_5	0	0	0	0	0	0	0	0	0
ENSG00000242659.1_7	0	0	0	0	0	0	0	0	0
ENSG00000213449.2_4	0	0	0	0	0	0	0	0	0
ENSG00000248954.1_7	0	0	0	0	0	0	0	0	0
ENSG00000224307.2_7	0	0	0	15	0	0	0	0	0
ENSG00000182315.9_4	0	0	0	0	0	0	0	0	0
ENSG00000221190.1	0	0	0	0	0	0	0	0	0
ENSG00000269964.3_5	0	0	0	0	0	0	0	0	0
ENSG00000287630.1_1	0	2	0	4	0	0	0	0	0
ENSG00000256566.1_7	0	14	0	0	0	0	0	0	32
ENSG00000208013.1	0	0	0	1	0	0	1	0	0
ENSG00000232629.9_7	0	0	0	0	0	0	0	0	0
ENSG00000114786.16_8	34	15	177	42	24	128	58	55	37
ENSG00000254255.1_5	0	0	0	0	0	0	0	0	0
ENSG00000205981.8_6	1573	1627	1313	1723	1085	1669	1207	2197	1312
ENSG00000274228.1_1	0	0	0	0	0	0	0	0	0
ENSG00000173253.15_5	0	0	4	0	0	17	3	0	0
ENSG00000200198.1	0	0	0	0	0	0	0	0	0
ENSG00000120093.11_5	0	0	0	0	0	0	0	0	0
ENSG00000233461.6_8	184	237	79	136	230	167	109	165	179
ENSG00000271524.1_4	0	0	1	0	0	0	0	0	0
ENSG00000183718.5_4	79	39	64	145	40	101	78	38	32
ENSG00000281376.1_5	3	16	1	5	0	3	18	0	1
ENSG00000248565.2_6	0	0	0	0	0	0	0	0	0
ENSG00000270831.1_4	0	0	0	0	0	0	0	0	0
ENSG00000262881.1_7	0	0	0	0	0	0	0	0	0
ENSG00000260662.2_6	0	0	0	0	0	0	0	0	0
ENSG00000231283.1	0	0	0	0	0	0	0	0	0
ENSG00000274294.1_6	0	0	8	0	0	0	0	0	0
ENSG00000231780.1_2	0	0	0	0	0	0	0	0	0
ENSG00000231982.1_5	0	0	0	0	0	0	0	0	0
ENSG00000100902.11_7	26829	45846	29119	33139	31442	27996	18323	52855	38566
